bin,n,predito,observado,versao
0,16542,0.11416952525234346,0.09805343972917423,calibrado
1,16542,0.20328922547991657,0.20239390642002175,calibrado
2,16542,0.2386299037186864,0.2413251118365373,calibrado
3,16542,0.26698534739736207,0.2551082094063596,calibrado
4,16541,0.2779445647109419,0.2794873345021462,calibrado
5,16542,0.308566722523208,0.3044371901825656,calibrado
6,16542,0.334915165506342,0.3203361141337202,calibrado
7,16542,0.3449498116026013,0.3454237697980897,calibrado
8,16541,0.38215141192924357,0.38812647361102715,calibrado
9,16542,0.41514501837133266,0.3855640188610809,calibrado
10,16542,0.42963442017591147,0.3534034578648289,calibrado
11,16542,0.4342919703255719,0.3610204328376254,calibrado
12,16541,0.43433871492248854,0.3900610603953812,calibrado
13,16542,0.445658482285059,0.43876193930600893,calibrado
14,16542,0.4724340767090281,0.46215693386531254,calibrado
15,16542,0.4826235943938198,0.4642727602466449,calibrado
16,16541,0.4926245723818431,0.5012998004957379,calibrado
17,16542,0.5244730593758214,0.5525933986216902,calibrado
18,16542,0.5793897930261317,0.5996251964695926,calibrado
19,16542,0.663726435895923,0.6813565469713456,calibrado
0,16542,0.1079630640962238,0.09805343972917423,bruto
1,16542,0.19950628947987356,0.20239390642002175,bruto
2,16542,0.23585924788731139,0.2413251118365373,bruto
3,16542,0.26120689503536926,0.2551082094063596,bruto
4,16541,0.2847461761755995,0.2794873345021462,bruto
5,16542,0.30247224461136396,0.3044371901825656,bruto
6,16542,0.32423400121101814,0.3203361141337202,bruto
7,16542,0.3448931717881591,0.3454237697980897,bruto
8,16541,0.3697459913527409,0.38812647361102715,bruto
9,16542,0.4086492494426668,0.3855640188610809,bruto
10,16542,0.41830948701131554,0.3534034578648289,bruto
11,16542,0.421295473190096,0.3610204328376254,bruto
12,16541,0.42904490805515916,0.3900610603953812,bruto
13,16542,0.44850993135276473,0.43876193930600893,bruto
14,16542,0.46593358515824285,0.46215693386531254,bruto
15,16542,0.4803289332211242,0.4642727602466449,bruto
16,16541,0.5028536897153961,0.5012998004957379,bruto
17,16542,0.5301587817884656,0.5525933986216902,bruto
18,16542,0.5819903184010861,0.5996251964695926,bruto
19,16542,0.6664477324256289,0.6813565469713456,bruto
