modelo,papel,fold,n_features,roc_auc,pr_auc,ks,brier,prevalencia,n,segundos
dummy_prior,piso absoluto,0,20,0.5,0.4075055216445202,0.0,0.2414457762939048,0.4075055216445202,306521,4.1
dummy_prior,piso absoluto,1,20,0.5,0.4065801219443904,0.0,0.241272750773764,0.4065801219443904,303581,3.7
dummy_prior,piso absoluto,2,20,0.5,0.406486393919335,0.0,0.2412552801640404,0.406486393919335,303651,3.6
dummy_prior,piso absoluto,3,20,0.5,0.4064413691780122,0.0,0.2412468911828398,0.4064413691780122,303569,3.5
dummy_prior,piso absoluto,4,20,0.5,0.4065045736827201,0.0,0.2412586680492427,0.4065045736827201,303694,3.6
logistica_podada,"linear interpretável, subconjunto de VIF < 3",0,8,0.6455458311840125,0.5291270103910801,0.2084722110443136,0.2249873633139722,0.4075055216445202,306521,2.0
logistica_podada,"linear interpretável, subconjunto de VIF < 3",1,8,0.6427762789843379,0.5354346443050992,0.2010225985434807,0.2268262002825861,0.4065801219443904,303581,2.1
logistica_podada,"linear interpretável, subconjunto de VIF < 3",2,8,0.6696625885036467,0.5558069906151042,0.2522968718823933,0.220714305177315,0.406486393919335,303651,2.0
logistica_podada,"linear interpretável, subconjunto de VIF < 3",3,8,0.6437983699125157,0.5312295855585798,0.2127052529983462,0.2266535002003044,0.4064413691780122,303569,1.9
logistica_podada,"linear interpretável, subconjunto de VIF < 3",4,8,0.6545392393288765,0.5428101386375601,0.2198791963163712,0.2236464298375219,0.4065045736827201,303694,2.0
lightgbm_padrao,"candidato a campeão, hiperparâmetros de partida",0,20,0.6561868102683861,0.541858324377432,0.226177612128403,0.2232579410535929,0.4075055216445202,306521,10.9
lightgbm_padrao,"candidato a campeão, hiperparâmetros de partida",1,20,0.6529077505265795,0.5457079145690857,0.2191576455005624,0.2245891020314631,0.4065801219443904,303581,11.0
lightgbm_padrao,"candidato a campeão, hiperparâmetros de partida",2,20,0.6757575050188308,0.5669789186245536,0.2547635344668551,0.2191054194334999,0.406486393919335,303651,10.9
lightgbm_padrao,"candidato a campeão, hiperparâmetros de partida",3,20,0.6515207656640449,0.5429667905151412,0.2199490417414429,0.2247393049274009,0.4064413691780122,303569,11.0
lightgbm_padrao,"candidato a campeão, hiperparâmetros de partida",4,20,0.6580568382571298,0.5485509357104379,0.2267930842741534,0.2227400242855363,0.4065045736827201,303694,11.2
random_forest,"não-linearidade e interações, sem boosting",0,20,0.6574250846590416,0.543423096613417,0.231132187894219,0.22311126071304,0.4075055216445202,306521,87.7
random_forest,"não-linearidade e interações, sem boosting",1,20,0.6526110097348624,0.5464770169631435,0.21867354594857,0.224467007728639,0.4065801219443904,303581,87.3
random_forest,"não-linearidade e interações, sem boosting",2,20,0.6777520098365748,0.5660610268427491,0.256873254550765,0.2188417891823209,0.406486393919335,303651,88.5
random_forest,"não-linearidade e interações, sem boosting",3,20,0.6540576621192322,0.5494289885131685,0.2201387237317973,0.2241436675021762,0.4064413691780122,303569,90.2
random_forest,"não-linearidade e interações, sem boosting",4,20,0.6629936879980763,0.5551146947199053,0.2282757360115672,0.2216787299417772,0.4065045736827201,303694,89.8
heuristica_taxa_municipal,regra de uma variável — a barra real,0,20,0.6155790775638854,0.4979224011573537,0.1748942312663355,0.230029833634378,0.4075055216445202,306521,0.6
heuristica_taxa_municipal,regra de uma variável — a barra real,1,20,0.6308255490999695,0.5236448219859148,0.1827048069350005,0.2288873508085211,0.4065801219443904,303581,0.6
heuristica_taxa_municipal,regra de uma variável — a barra real,2,20,0.6518618554489368,0.5376165954222258,0.2206178394841887,0.2252307621591619,0.406486393919335,303651,0.4
heuristica_taxa_municipal,regra de uma variável — a barra real,3,20,0.6295110984350614,0.524281482035286,0.1858969802231613,0.2289144902254039,0.4064413691780122,303569,0.5
heuristica_taxa_municipal,regra de uma variável — a barra real,4,20,0.6405426055793133,0.5301237938112776,0.1930829878820809,0.2260997666726419,0.4065045736827201,303694,0.7
heuristica_proficiencia_municipal,"regra de uma variável, variante contínua",0,20,0.6189645112144913,0.499167370421492,0.1828630186457877,0.2297562038368142,0.4075055216445202,306521,0.7
heuristica_proficiencia_municipal,"regra de uma variável, variante contínua",1,20,0.6352937840352029,0.524535207482673,0.1947179311184059,0.2280997282582952,0.4065801219443904,303581,0.7
heuristica_proficiencia_municipal,"regra de uma variável, variante contínua",2,20,0.6585922514024358,0.5419330350344537,0.2396504017639854,0.2235512148022847,0.406486393919335,303651,0.7
heuristica_proficiencia_municipal,"regra de uma variável, variante contínua",3,20,0.6373266185935107,0.5297077993288659,0.2018793614862287,0.2275113163349413,0.4064413691780122,303569,0.7
heuristica_proficiencia_municipal,"regra de uma variável, variante contínua",4,20,0.6440292588665386,0.5323527294258921,0.1985589877499829,0.2254796140410815,0.4065045736827201,303694,0.7
lightgbm_tunado,campeão com hiperparâmetros da busca,0,20,0.6580358680975708,0.5435192987976813,0.23204472690050038,0.22292973607893687,0.40750552164452025,306521,16.8
