decil,n_municipios,probabilidade_prevista,fracao_observada
0,462,0.225792401794242,0.2943722943722944
1,461,0.4297477122307577,0.5379609544468547
2,461,0.4823986668711243,0.5075921908893709
3,461,0.504966058249986,0.44251626898047725
4,461,0.5193774574036597,0.45770065075921906
5,461,0.5278719149148584,0.44685466377440347
6,461,0.5381304704512256,0.39045553145336226
7,461,0.5548626604692433,0.4924078091106291
8,461,0.5784222798929108,0.5140997830802603
9,461,0.6215229263799124,0.5661605206073753
