decil,n_municipios,probabilidade_prevista,fracao_observada
0,462,0.22793617782682046,0.3008658008658009
1,461,0.4323640242007135,0.5336225596529284
2,461,0.4839206022401686,0.4967462039045553
3,461,0.5065824788070944,0.44251626898047725
4,461,0.5203763345593472,0.42950108459869846
5,461,0.5294641862605783,0.4598698481561822
6,461,0.5401663305235191,0.4229934924078091
7,461,0.5568550130804305,0.4793926247288503
8,461,0.5804818900898543,0.5032537960954447
9,461,0.6249518515383288,0.5813449023861171
