seed,fold,conjunto,n_features,roc_auc,pr_auc,n_teste,n_municipios_teste,segundos
42,0,A_sem_percentis,20,0.641511461626842,0.5358153894709898,370330,1164,39.3
42,0,B_com_percentis,25,0.6444296000701207,0.5378636789117304,370330,1164,45.3
42,0,C_com_escola,34,0.643547926216871,0.5369561850330811,370330,1164,57.8
42,1,A_sem_percentis,20,0.6657171679412436,0.5527507676773644,370442,1125,37.2
42,1,B_com_percentis,25,0.6656106472218746,0.5540160663860305,370442,1125,44.8
42,1,C_com_escola,34,0.6663980109407469,0.5548246745863654,370442,1125,56.1
42,2,A_sem_percentis,20,0.65080862009974,0.531447650216913,370226,1069,37.7
42,2,B_com_percentis,25,0.6505918262906829,0.5302437460098625,370226,1069,47.7
42,2,C_com_escola,34,0.6502358495721445,0.5304383255379415,370226,1069,55.5
42,3,A_sem_percentis,20,0.6773515863625276,0.5697481639236548,370137,1168,40.0
42,3,B_com_percentis,25,0.6776682056090169,0.5697718486561372,370137,1168,48.0
42,3,C_com_escola,34,0.6777981791556216,0.5687884187931245,370137,1168,52.2
42,4,A_sem_percentis,20,0.657054428891153,0.5437564312627415,370717,991,37.8
42,4,B_com_percentis,25,0.6565745016625625,0.5433499051384606,370717,991,45.9
42,4,C_com_escola,34,0.6565090358669641,0.5432623168440311,370717,991,65.2
7,0,A_sem_percentis,20,0.6385664213216828,0.529842053229447,370309,1115,41.8
7,0,B_com_percentis,25,0.6386635906355038,0.5300533348743759,370309,1115,53.1
7,0,C_com_escola,34,0.6379284275254147,0.5293917441670928,370309,1115,55.3
7,1,A_sem_percentis,20,0.668949810226374,0.5572106129877923,370570,1146,36.7
7,1,B_com_percentis,25,0.6698415790565996,0.5578127849328675,370570,1146,44.9
7,1,C_com_escola,34,0.6682189850464693,0.5556680247818475,370570,1146,44.6
7,2,A_sem_percentis,20,0.6602924325076053,0.538552005625516,370327,1147,22.3
7,2,B_com_percentis,25,0.6603259867140268,0.5388940720374167,370327,1147,32.3
7,2,C_com_escola,34,0.6597130751800494,0.538459258946856,370327,1147,38.4
7,3,A_sem_percentis,20,0.6810870255391657,0.5726592141958247,370275,980,24.7
7,3,B_com_percentis,25,0.6813519410379971,0.5730783983767316,370275,980,27.5
7,3,C_com_escola,34,0.6806669163411027,0.5715435649492051,370275,980,38.3
7,4,A_sem_percentis,20,0.6480738801995557,0.5399340443518006,370371,1129,23.6
7,4,B_com_percentis,25,0.6473692532626132,0.5391983005801739,370371,1129,26.5
7,4,C_com_escola,34,0.647981583107388,0.5393131429354174,370371,1129,35.1
2024,0,A_sem_percentis,20,0.6492512081503041,0.53934254250201,370852,957,24.0
2024,0,B_com_percentis,25,0.6514137030422622,0.5435609448199887,370852,957,27.7
2024,0,C_com_escola,34,0.6498257374267697,0.541223315008393,370852,957,34.8
2024,1,A_sem_percentis,20,0.6704683353583509,0.5598422469513447,370299,1198,23.4
2024,1,B_com_percentis,25,0.6707385336816203,0.5598234087618524,370299,1198,28.2
2024,1,C_com_escola,34,0.6702058045443688,0.5589188735657331,370299,1198,35.0
2024,2,A_sem_percentis,20,0.6512791966031413,0.5329629238085959,370268,1125,22.1
2024,2,B_com_percentis,25,0.6510562152539402,0.5310620926764233,370268,1125,23.9
2024,2,C_com_escola,34,0.6517151205620861,0.5331846464538578,370268,1125,31.2
2024,3,A_sem_percentis,20,0.6755678019038935,0.5656368259822322,370230,1071,21.2
2024,3,B_com_percentis,25,0.6756566516554872,0.5649501890127615,370230,1071,24.2
2024,3,C_com_escola,34,0.6753100265176645,0.5648036542610604,370230,1071,59.2
2024,4,A_sem_percentis,20,0.6479916686521301,0.5327633192842964,370203,1166,45.1
2024,4,B_com_percentis,25,0.648169454793624,0.5339951346448126,370203,1166,24.5
2024,4,C_com_escola,34,0.6476795816272176,0.5319155778994388,370203,1166,32.0
