familia,recorte,n,n_colunas,n_features,soma_das_medias_abs,media_do_abs_da_soma,dp_da_soma,participacao,cancelamento_interno,queda_permutacao_em_bloco,queda_permutacao_dp,acima_do_piso
historico_municipal,global,50000,14,7,0.47397784394887216,0.35959955139769895,0.5198167116573841,0.5716324253928045,0.24131569441779888,0.08277245773044338,0.0008985059230142258,True
territorial,global,50000,37,5,0.2751091779918497,0.17357872323570103,0.23585740187160442,0.27592700317380053,0.36905513475510643,0.04623474377414201,0.0005615750466264898,True
estrutural,global,50000,33,5,0.08632856480649284,0.057085212187340965,0.0719650954761187,0.09074471358453814,0.33874480231081594,0.0032949745692847586,0.00024218936309203538,True
metas,global,50000,4,2,0.03190787894225758,0.030326564074455494,0.04200030776750094,0.04820820078426331,0.04955875853307978,0.003003266466040988,0.0001466570550152202,True
historico_escolar,global,50000,1,1,0.008484745116586149,0.008484745116586149,0.012173872029150315,0.013487657064593683,0.0,9.921009767821509e-05,3.934492589732411e-05,False
historico_municipal,gold,43263,14,7,0.4984807029111181,0.37514271526596865,0.5442946548270123,0.5688057730182632,0.24742780798706532,0.08277245773044338,0.0008985059230142258,True
territorial,gold,43263,37,5,0.2917737827722413,0.19551368936964292,0.2524460647711485,0.2964453545065034,0.3299134435177784,0.04623474377414201,0.0005615750466264898,True
estrutural,gold,43263,33,5,0.07883094038724965,0.05199617285109677,0.0633017469808775,0.07883859152533652,0.34040907547632426,0.0032949745692847586,0.00024218936309203538,True
metas,gold,43263,4,2,0.032239178995644664,0.030597966644863656,0.042053773094677546,0.046393810573875614,0.05090738666151284,0.003003266466040988,0.0001466570550152202,True
historico_escolar,gold,43263,1,1,0.006276368324577656,0.006276368324577656,0.007773994170051836,0.00951647037602117,0.0,9.921009767821509e-05,3.934492589732411e-05,False
