coluna,feature,tipo,bloco,familia,sub_bloco
mun_taxa_alfab_lag1,mun_taxa_alfab_lag1,valor,num,historico_municipal,historico_municipal
mun_media_portugues_lag1,mun_media_portugues_lag1,valor,num,historico_municipal,historico_municipal
mun_nivel_alfabetizacao_lag1,mun_nivel_alfabetizacao_lag1,valor,num,metas,metas
mun_meta_2024_lag1,mun_meta_2024_lag1,valor,num,metas,metas
mun_taxa_presenca_lag1,mun_taxa_presenca_lag1,valor,num,historico_municipal,historico_municipal
mun_n_alunos_lag1,mun_n_alunos_lag1,valor,num,historico_municipal,historico_municipal
mun_n_escolas_lag1,mun_n_escolas_lag1,valor,num,historico_municipal,historico_municipal
mun_share_rede_estadual_lag1,mun_share_rede_estadual_lag1,valor,num,historico_municipal,historico_municipal
mun_desvio_vs_uf,mun_desvio_vs_uf,valor,num,historico_municipal,historico_municipal
uf_taxa_alfab_lag1,uf_taxa_alfab_lag1,valor,num,territorial,territorial
uf_media_portugues_lag1,uf_media_portugues_lag1,valor,num,territorial,territorial
uf_taxa_presenca_lag1,uf_taxa_presenca_lag1,valor,num,territorial,territorial
tem_historico_municipio,tem_historico_municipio,valor,num,estrutural,proveniencia_do_lag
tem_historico_escola,tem_historico_escola,valor,num,historico_escolar,proveniencia_do_lag
missingindicator_mun_taxa_alfab_lag1,mun_taxa_alfab_lag1,indicador_de_nulo,num,historico_municipal,historico_municipal
missingindicator_mun_media_portugues_lag1,mun_media_portugues_lag1,indicador_de_nulo,num,historico_municipal,historico_municipal
missingindicator_mun_nivel_alfabetizacao_lag1,mun_nivel_alfabetizacao_lag1,indicador_de_nulo,num,metas,metas
missingindicator_mun_meta_2024_lag1,mun_meta_2024_lag1,indicador_de_nulo,num,metas,metas
missingindicator_mun_taxa_presenca_lag1,mun_taxa_presenca_lag1,indicador_de_nulo,num,historico_municipal,historico_municipal
missingindicator_mun_n_alunos_lag1,mun_n_alunos_lag1,indicador_de_nulo,num,historico_municipal,historico_municipal
missingindicator_mun_n_escolas_lag1,mun_n_escolas_lag1,indicador_de_nulo,num,historico_municipal,historico_municipal
missingindicator_mun_share_rede_estadual_lag1,mun_share_rede_estadual_lag1,indicador_de_nulo,num,historico_municipal,historico_municipal
missingindicator_mun_desvio_vs_uf,mun_desvio_vs_uf,indicador_de_nulo,num,historico_municipal,historico_municipal
missingindicator_uf_taxa_alfab_lag1,uf_taxa_alfab_lag1,indicador_de_nulo,num,territorial,territorial
missingindicator_uf_media_portugues_lag1,uf_media_portugues_lag1,indicador_de_nulo,num,territorial,territorial
missingindicator_uf_taxa_presenca_lag1,uf_taxa_presenca_lag1,indicador_de_nulo,num,territorial,territorial
fonte_lag_municipal_agregado_r3,fonte_lag_municipal,dummy,cat,estrutural,proveniencia_do_lag
fonte_lag_municipal_agregado_r5,fonte_lag_municipal,dummy,cat,estrutural,proveniencia_do_lag
fonte_lag_municipal_gold,fonte_lag_municipal,dummy,cat,estrutural,proveniencia_do_lag
fonte_lag_municipal_sem_historico,fonte_lag_municipal,dummy,cat,estrutural,proveniencia_do_lag
fonte_lag_uf_agregado_r5,fonte_lag_uf,dummy,cat,estrutural,proveniencia_do_lag
fonte_lag_uf_gold,fonte_lag_uf,dummy,cat,estrutural,proveniencia_do_lag
fonte_lag_uf_sem_historico,fonte_lag_uf,dummy,cat,estrutural,proveniencia_do_lag
rede_grupo_Estadual,rede_grupo,dummy,cat,estrutural,estrutural
rede_grupo_Municipal,rede_grupo,dummy,cat,estrutural,estrutural
rede_grupo_Outros,rede_grupo,dummy,cat,estrutural,estrutural
nome_regiao_Centro-Oeste,nome_regiao,dummy,cat,territorial,territorial
nome_regiao_Nordeste,nome_regiao,dummy,cat,territorial,territorial
nome_regiao_Norte,nome_regiao,dummy,cat,territorial,territorial
nome_regiao_Sudeste,nome_regiao,dummy,cat,territorial,territorial
nome_regiao_Sul,nome_regiao,dummy,cat,territorial,territorial
sigla_uf_AC,sigla_uf,dummy,cat,territorial,territorial
sigla_uf_AL,sigla_uf,dummy,cat,territorial,territorial
sigla_uf_AM,sigla_uf,dummy,cat,territorial,territorial
sigla_uf_AP,sigla_uf,dummy,cat,territorial,territorial
sigla_uf_BA,sigla_uf,dummy,cat,territorial,territorial
sigla_uf_CE,sigla_uf,dummy,cat,territorial,territorial
sigla_uf_DF,sigla_uf,dummy,cat,territorial,territorial
sigla_uf_ES,sigla_uf,dummy,cat,territorial,territorial
sigla_uf_GO,sigla_uf,dummy,cat,territorial,territorial
sigla_uf_MA,sigla_uf,dummy,cat,territorial,territorial
sigla_uf_MG,sigla_uf,dummy,cat,territorial,territorial
sigla_uf_MS,sigla_uf,dummy,cat,territorial,territorial
sigla_uf_MT,sigla_uf,dummy,cat,territorial,territorial
sigla_uf_PA,sigla_uf,dummy,cat,territorial,territorial
sigla_uf_PB,sigla_uf,dummy,cat,territorial,territorial
sigla_uf_PE,sigla_uf,dummy,cat,territorial,territorial
sigla_uf_PI,sigla_uf,dummy,cat,territorial,territorial
sigla_uf_PR,sigla_uf,dummy,cat,territorial,territorial
sigla_uf_RJ,sigla_uf,dummy,cat,territorial,territorial
sigla_uf_RN,sigla_uf,dummy,cat,territorial,territorial
sigla_uf_RO,sigla_uf,dummy,cat,territorial,territorial
sigla_uf_RS,sigla_uf,dummy,cat,territorial,territorial
sigla_uf_SC,sigla_uf,dummy,cat,territorial,territorial
sigla_uf_SE,sigla_uf,dummy,cat,territorial,territorial
sigla_uf_SP,sigla_uf,dummy,cat,territorial,territorial
sigla_uf_TO,sigla_uf,dummy,cat,territorial,territorial
caderno_1,caderno,dummy,cat_rara,estrutural,controle_negativo
caderno_2,caderno,dummy,cat_rara,estrutural,controle_negativo
caderno_3,caderno,dummy,cat_rara,estrutural,controle_negativo
caderno_4,caderno,dummy,cat_rara,estrutural,controle_negativo
caderno_5,caderno,dummy,cat_rara,estrutural,controle_negativo
caderno_6,caderno,dummy,cat_rara,estrutural,controle_negativo
caderno_7,caderno,dummy,cat_rara,estrutural,controle_negativo
caderno_8,caderno,dummy,cat_rara,estrutural,controle_negativo
caderno_9,caderno,dummy,cat_rara,estrutural,controle_negativo
caderno_10,caderno,dummy,cat_rara,estrutural,controle_negativo
caderno_11,caderno,dummy,cat_rara,estrutural,controle_negativo
caderno_12,caderno,dummy,cat_rara,estrutural,controle_negativo
caderno_13,caderno,dummy,cat_rara,estrutural,controle_negativo
caderno_14,caderno,dummy,cat_rara,estrutural,controle_negativo
caderno_15,caderno,dummy,cat_rara,estrutural,controle_negativo
caderno_16,caderno,dummy,cat_rara,estrutural,controle_negativo
caderno_17,caderno,dummy,cat_rara,estrutural,controle_negativo
caderno_18,caderno,dummy,cat_rara,estrutural,controle_negativo
caderno_19,caderno,dummy,cat_rara,estrutural,controle_negativo
caderno_20,caderno,dummy,cat_rara,estrutural,controle_negativo
caderno_21,caderno,dummy,cat_rara,estrutural,controle_negativo
caderno_infrequent_sklearn,caderno,dummy,cat_rara,estrutural,controle_negativo
