feature,roc_auc_referencia,queda_media,queda_dp,n_repeticoes,n,familia,sub_bloco,acima_do_piso
mun_media_portugues_lag1,0.6598992919366803,0.04173737546891576,0.0006158334723773584,10,330836,historico_municipal,historico_municipal,True
sigla_uf,0.6598992919366803,0.009404155101987522,0.00014838466073343663,10,330836,territorial,territorial,True
uf_media_portugues_lag1,0.6598992919366803,0.007147088868034446,0.00014857011802941835,10,330836,territorial,territorial,True
mun_taxa_alfab_lag1,0.6598992919366803,0.0043713674294752255,0.00022813236592469867,10,330836,historico_municipal,historico_municipal,True
mun_meta_2024_lag1,0.6598992919366803,0.002987301539265408,0.0002095535783712607,10,330836,metas,metas,True
uf_taxa_alfab_lag1,0.6598992919366803,0.0029411348657747303,0.0001463138335846706,10,330836,territorial,territorial,True
rede_grupo,0.6598992919366803,0.0028338466421843123,0.00014886978461224314,10,330836,estrutural,estrutural,True
mun_taxa_presenca_lag1,0.6598992919366803,0.0026072022239511327,0.00014614204192862093,10,330836,historico_municipal,historico_municipal,True
nome_regiao,0.6598992919366803,0.0025269594531082684,0.00011336350041608967,10,330836,territorial,territorial,True
uf_taxa_presenca_lag1,0.6598992919366803,0.0023369127292903525,9.729355281913715e-05,10,330836,territorial,territorial,True
mun_n_alunos_lag1,0.6598992919366803,0.0010706573013058995,0.000112759918804272,10,330836,historico_municipal,historico_municipal,False
mun_desvio_vs_uf,0.6598992919366803,0.000997923203020412,9.697705326949094e-05,10,330836,historico_municipal,historico_municipal,False
mun_share_rede_estadual_lag1,0.6598992919366803,0.0005651817526940994,6.378560759168215e-05,10,330836,historico_municipal,historico_municipal,False
caderno,0.6598992919366803,0.00030160196192713373,7.927187539880627e-05,10,330836,estrutural,controle_negativo,False
fonte_lag_municipal,0.6598992919366803,0.00021789422818081495,2.2981354501839022e-05,10,330836,estrutural,proveniencia_do_lag,False
tem_historico_escola,0.6598992919366803,9.501288529490947e-05,6.483538009405738e-05,10,330836,historico_escolar,proveniencia_do_lag,False
mun_nivel_alfabetizacao_lag1,0.6598992919366803,6.56552012238798e-05,1.4177985716827906e-05,10,330836,metas,metas,False
fonte_lag_uf,0.6598992919366803,2.160095589022193e-05,6.102479448594926e-06,10,330836,estrutural,proveniencia_do_lag,False
tem_historico_municipio,0.6598992919366803,6.736122002670708e-06,4.91261240845472e-06,10,330836,estrutural,proveniencia_do_lag,False
mun_n_escolas_lag1,0.6598992919366803,-9.404070779767126e-05,0.00011417695741319897,10,330836,historico_municipal,historico_municipal,False
