coluna,feature,tipo,bloco,familia,sub_bloco,recorte,n,shap_medio_abs,participacao
mun_media_portugues_lag1,mun_media_portugues_lag1,valor,num,historico_municipal,historico_municipal,global,50000,0.2709172719184632,0.309334016940903
uf_media_portugues_lag1,uf_media_portugues_lag1,valor,num,territorial,territorial,global,50000,0.08273889880031435,0.09447148106109307
mun_taxa_alfab_lag1,mun_taxa_alfab_lag1,valor,num,historico_municipal,historico_municipal,global,50000,0.06524863513352192,0.0745010543729314
mun_taxa_presenca_lag1,mun_taxa_presenca_lag1,valor,num,historico_municipal,historico_municipal,global,50000,0.05567490929631307,0.06356975032818218
uf_taxa_presenca_lag1,uf_taxa_presenca_lag1,valor,num,territorial,territorial,global,50000,0.03305373617355953,0.037740838422990135
uf_taxa_alfab_lag1,uf_taxa_alfab_lag1,valor,num,territorial,territorial,global,50000,0.029776511190791798,0.03399889476188709
sigla_uf_RS,sigla_uf,dummy,cat,territorial,territorial,global,50000,0.029454812256089837,0.033631578115693644
rede_grupo_Estadual,rede_grupo,dummy,cat,estrutural,estrutural,global,50000,0.029062870129700942,0.03318405761799453
mun_meta_2024_lag1,mun_meta_2024_lag1,valor,num,metas,metas,global,50000,0.028977172961866745,0.03308620837797048
rede_grupo_Municipal,rede_grupo,dummy,cat,estrutural,estrutural,global,50000,0.02836835136642255,0.032391054361449144
nome_regiao_Sudeste,nome_regiao,dummy,cat,territorial,territorial,global,50000,0.026903322391980733,0.030718280623585392
mun_n_escolas_lag1,mun_n_escolas_lag1,valor,num,historico_municipal,historico_municipal,global,50000,0.024230331639514057,0.027666253114039023
mun_desvio_vs_uf,mun_desvio_vs_uf,valor,num,historico_municipal,historico_municipal,global,50000,0.0239972099073845,0.027400074138718616
mun_n_alunos_lag1,mun_n_alunos_lag1,valor,num,historico_municipal,historico_municipal,global,50000,0.018363222389546685,0.02096717313559543
sigla_uf_MG,sigla_uf,dummy,cat,territorial,territorial,global,50000,0.015573306883305113,0.017781640650493643
mun_share_rede_estadual_lag1,mun_share_rede_estadual_lag1,valor,num,historico_municipal,historico_municipal,global,50000,0.015117460839740915,0.017261154500740998
sigla_uf_RJ,sigla_uf,dummy,cat,territorial,territorial,global,50000,0.00993423777993144,0.01134293748032845
tem_historico_escola,tem_historico_escola,valor,num,historico_escolar,proveniencia_do_lag,global,50000,0.008484745116586149,0.009687903141233552
nome_regiao_Centro-Oeste,nome_regiao,dummy,cat,territorial,territorial,global,50000,0.007289409250480814,0.008323065667278843
sigla_uf_SC,sigla_uf,dummy,cat,territorial,territorial,global,50000,0.007140104869007216,0.008152589552038743
nome_regiao_Nordeste,nome_regiao,dummy,cat,territorial,territorial,global,50000,0.006437623405315099,0.007350494464296209
nome_regiao_Norte,nome_regiao,dummy,cat,territorial,territorial,global,50000,0.005681112610952352,0.006486708552005566
sigla_uf_GO,sigla_uf,dummy,cat,territorial,territorial,global,50000,0.004439017839689249,0.005068481643491053
caderno_15,caderno,dummy,cat_rara,estrutural,controle_negativo,global,50000,0.00297377306685001,0.0033954615064787645
fonte_lag_municipal_agregado_r5,fonte_lag_municipal,dummy,cat,estrutural,proveniencia_do_lag,global,50000,0.0029252713305017238,0.0033400821029177415
caderno_18,caderno,dummy,cat_rara,estrutural,controle_negativo,global,50000,0.002856869112835485,0.003261980280141629
sigla_uf_ES,sigla_uf,dummy,cat,territorial,territorial,global,50000,0.0028224013233554843,0.0032226248721256684
sigla_uf_BA,sigla_uf,dummy,cat,territorial,territorial,global,50000,0.0024312054324032387,0.002775956427909777
caderno_20,caderno,dummy,cat_rara,estrutural,controle_negativo,global,50000,0.0023744202262873802,0.0027111189379031516
missingindicator_mun_nivel_alfabetizacao_lag1,mun_nivel_alfabetizacao_lag1,indicador_de_nulo,num,metas,metas,global,50000,0.002101160601735247,0.002399110416881596
caderno_12,caderno,dummy,cat_rara,estrutural,controle_negativo,global,50000,0.0020555550690831517,0.0023470379059261186
caderno_13,caderno,dummy,cat_rara,estrutural,controle_negativo,global,50000,0.00200286434224374,0.0022868755025719444
caderno_1,caderno,dummy,cat_rara,estrutural,controle_negativo,global,50000,0.001905300329604159,0.0021754766695445777
caderno_17,caderno,dummy,cat_rara,estrutural,controle_negativo,global,50000,0.0016687543464989844,0.0019053878759176402
sigla_uf_AC,sigla_uf,dummy,cat,territorial,territorial,global,50000,0.001487755420872112,0.0016987228510941252
sigla_uf_MA,sigla_uf,dummy,cat,territorial,territorial,global,50000,0.0014139908409826682,0.001614498269753932
caderno_5,caderno,dummy,cat_rara,estrutural,controle_negativo,global,50000,0.0013876246228317086,0.0015843932560926726
sigla_uf_PB,sigla_uf,dummy,cat,territorial,territorial,global,50000,0.0013390887969374388,0.0015289749290030015
caderno_10,caderno,dummy,cat_rara,estrutural,controle_negativo,global,50000,0.0012489021653036517,0.0014259996080125954
sigla_uf_PE,sigla_uf,dummy,cat,territorial,territorial,global,50000,0.0011891873807990533,0.0013578171180932107
caderno_2,caderno,dummy,cat_rara,estrutural,controle_negativo,global,50000,0.0010385326016943194,0.001185799115469009
caderno_7,caderno,dummy,cat_rara,estrutural,controle_negativo,global,50000,0.0010168607442860688,0.0011610541346149194
sigla_uf_MT,sigla_uf,dummy,cat,territorial,territorial,global,50000,0.0007963330437456157,0.0009092550559816094
mun_nivel_alfabetizacao_lag1,mun_nivel_alfabetizacao_lag1,valor,num,metas,metas,global,50000,0.000781943506079586,0.0008928250459765808
caderno_6,caderno,dummy,cat_rara,estrutural,controle_negativo,global,50000,0.0007568244879705095,0.000864144088434566
missingindicator_uf_taxa_presenca_lag1,uf_taxa_presenca_lag1,indicador_de_nulo,num,territorial,territorial,global,50000,0.0007490604129541521,0.0008552790482116481
sigla_uf_AL,sigla_uf,dummy,cat,territorial,territorial,global,50000,0.0007445618837779672,0.000850142616375682
caderno_8,caderno,dummy,cat_rara,estrutural,controle_negativo,global,50000,0.0007088535717436367,0.0008093707766124237
caderno_14,caderno,dummy,cat_rara,estrutural,controle_negativo,global,50000,0.000597955571392032,0.0006827471631508204
fonte_lag_uf_agregado_r5,fonte_lag_uf,dummy,cat,estrutural,proveniencia_do_lag,global,50000,0.0005876015932507685,0.0006709249650787857
caderno_3,caderno,dummy,cat_rara,estrutural,controle_negativo,global,50000,0.0005815703689319474,0.0006640384981053028
caderno_16,caderno,dummy,cat_rara,estrutural,controle_negativo,global,50000,0.0005748413647211495,0.0006563553043103911
nome_regiao_Sul,nome_regiao,dummy,cat,territorial,territorial,global,50000,0.0005718494411179835,0.0006529391184762661
sigla_uf_PI,sigla_uf,dummy,cat,territorial,territorial,global,50000,0.0005145250660019309,0.0005874860039601397
sigla_uf_RO,sigla_uf,dummy,cat,territorial,territorial,global,50000,0.0004545913139240949,0.0005190534963193683
caderno_4,caderno,dummy,cat_rara,estrutural,controle_negativo,global,50000,0.0004345765543853443,0.000496200593946679
missingindicator_mun_taxa_alfab_lag1,mun_taxa_alfab_lag1,indicador_de_nulo,num,historico_municipal,historico_municipal,global,50000,0.0004170383982799869,0.0004761754835526852
fonte_lag_municipal_agregado_r3,fonte_lag_municipal,dummy,cat,estrutural,proveniencia_do_lag,global,50000,0.0004151338366863564,0.00047400085037371836
sigla_uf_PR,sigla_uf,dummy,cat,territorial,territorial,global,50000,0.000414046091333272,0.0004727588600159398
missingindicator_uf_taxa_alfab_lag1,uf_taxa_alfab_lag1,indicador_de_nulo,num,territorial,territorial,global,50000,0.0003612707492137305,0.0004124998427238214
sigla_uf_TO,sigla_uf,dummy,cat,territorial,territorial,global,50000,0.000330964856739389,0.000377896499091716
sigla_uf_AP,sigla_uf,dummy,cat,territorial,territorial,global,50000,0.00032410075304834126,0.0003700590483732187
caderno_21,caderno,dummy,cat_rara,estrutural,controle_negativo,global,50000,0.00030920097155314423,0.00035304644069112826
sigla_uf_RN,sigla_uf,dummy,cat,territorial,territorial,global,50000,0.00025781864741904236,0.0002943779748099833
sigla_uf_MS,sigla_uf,dummy,cat,territorial,territorial,global,50000,0.0002529046536831506,0.0002887671645032734
tem_historico_municipio,tem_historico_municipio,valor,num,estrutural,proveniencia_do_lag,global,50000,0.00024301082522337083,0.0002774703664855043
sigla_uf_PA,sigla_uf,dummy,cat,territorial,territorial,global,50000,0.0001108630424585153,0.00012658369845206346
caderno_9,caderno,dummy,cat_rara,estrutural,controle_negativo,global,50000,9.705494235298403e-05,0.00011081757530413947
sigla_uf_AM,sigla_uf,dummy,cat,territorial,territorial,global,50000,8.978434543326663e-05,0.00010251598960305792
caderno_19,caderno,dummy,cat_rara,estrutural,controle_negativo,global,50000,6.391370749715297e-05,7.297683066744646e-05
caderno_11,caderno,dummy,cat_rara,estrutural,controle_negativo,global,50000,4.8911213267386024e-05,5.584694532878395e-05
missingindicator_mun_meta_2024_lag1,mun_meta_2024_lag1,indicador_de_nulo,num,metas,metas,global,50000,4.760187257599899e-05,5.4351936860911774e-05
sigla_uf_SP,sigla_uf,dummy,cat,territorial,territorial,global,50000,3.0781044231705764e-05,3.5145873094037494e-05
fonte_lag_uf_gold,fonte_lag_uf,dummy,cat,estrutural,proveniencia_do_lag,global,50000,2.3166343373175967e-05,2.6451388657174845e-05
missingindicator_mun_media_portugues_lag1,mun_media_portugues_lag1,indicador_de_nulo,num,historico_municipal,historico_municipal,global,50000,1.1764426107773819e-05,1.3432651078877553e-05
