feature,familia,recorte,n,n_colunas,n_features,soma_das_medias_abs,media_do_abs_da_soma,dp_da_soma,participacao,cancelamento_interno
mun_media_portugues_lag1,historico_municipal,global,50000,2,1,0.270929036344571,0.27091864172684404,0.3657701263583439,0.32983789621232645,3.8366569590331245e-05
uf_media_portugues_lag1,territorial,global,50000,2,1,0.08273889880031435,0.08273889880031435,0.09979883682507823,0.10073291428478393,0.0
mun_taxa_alfab_lag1,historico_municipal,global,50000,2,1,0.0656656735318019,0.06532245537378306,0.12352878206974863,0.07952875120950864,0.005226751505908456
rede_grupo,estrutural,global,50000,3,1,0.057431221496123494,0.05742729103781905,0.07004709646893577,0.0699165503722898,6.843765815967018e-05
mun_taxa_presenca_lag1,historico_municipal,global,50000,2,1,0.05567490929631307,0.05567490929631307,0.07568500739928957,0.0677830615016273,0.0
sigla_uf,territorial,global,50000,26,1,0.08154638356516913,0.049372080902083636,0.08279368404719073,0.06010949705257756,0.3945521708804275
nome_regiao,territorial,global,50000,5,1,0.04688331709984698,0.03788079564993327,0.041105312841287045,0.0461190926707094,0.19201972059146588
uf_taxa_presenca_lag1,territorial,global,50000,2,1,0.03380279658651368,0.03295272185837033,0.04579489223079396,0.04011926378692549,0.025148059154445956
uf_taxa_alfab_lag1,territorial,global,50000,2,1,0.030137781940005527,0.02993237372743212,0.04597516960768718,0.03644205181292651,0.00681563802479912
mun_meta_2024_lag1,metas,global,50000,2,1,0.029024774834442744,0.028990150143249006,0.04142874737437417,0.03529491390175263,0.0011929357382179928
mun_n_escolas_lag1,historico_municipal,global,50000,2,1,0.024230331639514057,0.024230331639514057,0.031318745854670225,0.029499932383989916,0.0
mun_desvio_vs_uf,historico_municipal,global,50000,2,1,0.0239972099073845,0.0239972099073845,0.03810321707015594,0.029216111450897704,0.0
mun_n_alunos_lag1,historico_municipal,global,50000,2,1,0.018363222389546685,0.018363222389546685,0.028838753390796414,0.02235684706685513,0.0
mun_share_rede_estadual_lag1,historico_municipal,global,50000,2,1,0.015117460839740915,0.015117460839740915,0.026228964945133115,0.01840519887324647,0.0
caderno,estrutural,global,50000,22,1,0.024703159381333942,0.013446883260634222,0.018210040102137805,0.016371304894449677,0.455661397270712
tem_historico_escola,historico_escolar,global,50000,1,1,0.008484745116586149,0.008484745116586149,0.012173872029150315,0.010330003359363835,0.0
fonte_lag_municipal,estrutural,global,50000,4,1,0.00334040516718808,0.0031951854455572913,0.005750582440314142,0.0038900728227976964,0.043473684886265906
mun_nivel_alfabetizacao_lag1,metas,global,50000,2,1,0.002883104107814833,0.002485590236785998,0.005189035764864338,0.003026155193019181,0.1378770436875133
fonte_lag_uf,estrutural,global,50000,3,1,0.0006107679366239444,0.0005950986775455069,0.0008021693322963128,0.0007245204486085335,0.025655012548710943
tem_historico_municipio,estrutural,global,50000,1,1,0.00024301082522337083,0.00024301082522337083,0.0004010402150975473,0.00029586070134411094,0.0
mun_media_portugues_lag1,historico_municipal,gold,43263,2,1,0.27759427460985336,0.27758515069630707,0.3784085501416204,0.324689843935733,3.286780161126934e-05
uf_media_portugues_lag1,territorial,gold,43263,2,1,0.0890473177993657,0.0890473177993657,0.10454970711963169,0.10415816424850395,0.0
mun_taxa_alfab_lag1,historico_municipal,gold,43263,2,1,0.06910436981083341,0.06898580143510215,0.13045076190018914,0.0806923174584741,0.0017157869474222487
mun_taxa_presenca_lag1,historico_municipal,gold,43263,2,1,0.06302592567050937,0.06302592567050937,0.0812320999109901,0.07372108312901568,0.0
sigla_uf,territorial,gold,43263,26,1,0.08699807719770968,0.05538634417020355,0.08820447919499544,0.06478510611855087,0.36336128390132216
rede_grupo,estrutural,gold,43263,3,1,0.052634203517775036,0.052629661000723,0.061379643970040906,0.06156062877949409,8.630352030503108e-05
