feature,familia,shap,permutacao,permutacao_dp,acima_do_piso,logistica,posicao_shap,posicao_permutacao,posicao_logistica,leituras_disponiveis,leituras_no_topo,veredito,recorte
mun_media_portugues_lag1,historico_municipal,0.27091864172684404,0.04173737546891576,0.0006158334723773584,True,,1.0,1.0,,2,2,fator,global
sigla_uf,territorial,0.049372080902083636,0.009404155101987522,0.00014838466073343663,True,,6.0,2.0,,2,1,achado sobre a leitura,global
uf_media_portugues_lag1,territorial,0.08273889880031435,0.007147088868034446,0.00014857011802941835,True,,2.0,3.0,,2,2,fator,global
mun_taxa_alfab_lag1,historico_municipal,0.06532245537378306,0.0043713674294752255,0.00022813236592469867,True,0.4273183900847122,3.0,4.0,1.0,3,3,fator,global
mun_meta_2024_lag1,metas,0.028990150143249006,0.002987301539265408,0.0002095535783712607,True,,10.0,5.0,,2,1,achado sobre a leitura,global
uf_taxa_alfab_lag1,territorial,0.02993237372743212,0.0029411348657747303,0.0001463138335846706,True,0.16591919739580802,9.0,6.0,3.0,3,1,achado sobre a leitura,global
rede_grupo,estrutural,0.05742729103781905,0.0028338466421843123,0.00014886978461224314,True,0.12139243800108666,4.0,7.0,4.0,3,1,achado sobre a leitura,global
mun_taxa_presenca_lag1,historico_municipal,0.05567490929631307,0.0026072022239511327,0.00014614204192862093,True,0.11742842145908645,5.0,8.0,5.0,3,1,achado sobre a leitura,global
nome_regiao,territorial,0.03788079564993327,0.0025269594531082684,0.00011336350041608967,True,0.33114838853057693,7.0,9.0,2.0,3,1,achado sobre a leitura,global
uf_taxa_presenca_lag1,territorial,0.03295272185837033,0.0023369127292903525,9.729355281913715e-05,True,,8.0,10.0,,2,0,secundária,global
mun_n_alunos_lag1,historico_municipal,0.018363222389546685,0.0010706573013058995,0.000112759918804272,False,0.022796691598664764,13.0,11.0,8.0,3,0,secundária,global
mun_desvio_vs_uf,historico_municipal,0.0239972099073845,0.000997923203020412,9.697705326949094e-05,False,,12.0,12.0,,2,0,secundária,global
mun_share_rede_estadual_lag1,historico_municipal,0.015117460839740915,0.0005651817526940994,6.378560759168215e-05,False,0.05590096066511199,14.0,13.0,7.0,3,0,secundária,global
caderno,estrutural,0.013446883260634222,0.00030160196192713373,7.927187539880627e-05,False,,15.0,14.0,,2,0,secundária,global
