fracao,seed_amostra,n_municipios_treino,n_alunos_treino,roc_auc_treino,roc_auc_validacao,segundos
0.02,42,31,25228,0.6096873572257021,0.6496258331027273,2.6
0.02,7,111,27411,0.6594657474326276,0.6594440653447824,2.8
0.02,2024,95,23187,0.691441045325797,0.6388237555108036,2.7
0.05,42,160,57808,0.6706698655225671,0.6590428731127181,3.7
0.05,7,219,57817,0.6597795740014705,0.6568185928618995,3.8
0.05,2024,234,59600,0.6861221659206193,0.6521424797665145,4.0
0.1,42,355,115814,0.6853937605373723,0.6642860692728199,4.9
0.1,7,389,122414,0.6924575050504855,0.6622866162751164,5.2
0.1,2024,484,116543,0.6871448905427211,0.6686583590604247,5.0
0.25,42,933,288980,0.6738779975043488,0.6672016989755702,8.2
0.25,7,991,289331,0.6913133246176274,0.6687042958166325,8.3
0.25,2024,1013,289147,0.6757966142832674,0.6702599101282523,8.5
0.5,42,1784,640567,0.6695274156709379,0.6706869548882827,14.5
0.5,7,1724,583563,0.679150893664824,0.67204640985326,13.4
0.5,2024,1698,580275,0.669471279972667,0.6718940021026829,13.8
0.75,42,2357,867899,0.673607375402176,0.672189277298517,19.2
0.75,7,2258,867005,0.6687152221215491,0.672009740343075,19.2
0.75,2024,2494,867015,0.6735246949197903,0.672691426394805,19.4
1.0,42,3309,1155906,0.6699754909100047,0.6726141492421813,25.4
