iteracao,roc_auc,roc_auc_dp,brier,segundos,colsample_bytree,learning_rate,max_depth,min_child_samples,n_estimators,num_leaves,reg_lambda,subsample
0,0.6584559900257173,0.027228672790364956,0.2234284321121102,12.0,0.749816047538945,0.17254716573280354,11,1774,220,117,4.458327528535912,0.6399899663272012
1,0.6636467174960563,0.028291052742046255,0.22206171213137726,14.4,0.7836995567863468,0.0271747096730583,11,1737,330,36,0.5641157902710026,0.8887995089067299
2,0.6640208865355637,0.027915399517611746,0.22198820252013976,23.7,0.9754210836063001,0.010023356974647664,8,1234,659,72,5.247564316322379,0.7727780074568463
3,0.6626339222014048,0.02861129880177378,0.22234317717655863,20.0,0.7164916560792167,0.06252287916406217,6,1949,766,78,4.667628932479799,0.9439761626945282
4,0.663420652724847,0.027896852473375037,0.2220487238075027,20.5,0.8721230154351118,0.03855787045127016,5,437,800,74,5.632882178455393,0.7541666010159664
5,0.6641324266270281,0.02805071033120397,0.22192682421096258,21.7,0.6063865008880857,0.019970999139010043,10,1501,708,22,0.34388521115218396,0.9637281608315128
6,0.662434668486943,0.027324160236722912,0.22263271682927693,16.5,0.7035119926400067,0.07277150634170934,5,1071,589,68,5.4671027934327965,0.6739417822102108
7,0.660902947784396,0.02700028955487321,0.2229342519974709,14.4,0.9878338511058234,0.10196967939171485,5,251,469,109,9.218742350231167,0.6353970008207678
8,0.6640022441290777,0.02707615146460525,0.22196610940003816,23.3,0.6783931449676581,0.011450964268326641,11,1798,537,125,8.287375091519294,0.7427013306774357
9,0.6627991184741328,0.02837005474268511,0.22231571846993994,12.4,0.7123738038749523,0.05082341959721458,12,1230,214,59,0.7455064367977082,0.9947547746402069
10,0.6631315000789844,0.028089729766280318,0.2222318361868026,18.1,0.908897907718663,0.018135730867783396,11,1136,338,95,7.113419527486499,0.9160702162124823
11,0.6570357252588185,0.024454016738736598,0.2240545052176342,17.8,0.8423839899124046,0.16037816051594342,12,1101,334,87,6.232981268275579,0.7323592099410596
12,0.6631197777663941,0.028024894236204478,0.22215781865536174,17.4,0.6254233401144095,0.02538617845650057,11,854,298,58,6.3755747135521315,0.9548850970305306
13,0.6636955038544089,0.02711168653348936,0.2220137421804648,13.0,0.7888859700647797,0.014308552498147852,6,1842,204,104,2.3598491974895577,0.7024273291045295
14,0.6624718523416824,0.029312741919384353,0.22239035452319902,17.5,0.6161734358153725,0.0840608420892158,6,1648,440,66,5.6327557197638365,0.878206434570451
15,0.6625237085792401,0.027206870967939733,0.2222390670904959,15.0,0.6557325817623503,0.061145590061402945,7,574,359,85,2.8975145291376805,0.6644885149016018
16,0.6562566364932677,0.027294459639857407,0.22435745051046435,30.9,0.9718790609370292,0.1125612361593632,12,1062,845,42,8.036720768991145,0.6746280235544143
17,0.6612231298765459,0.02696779472102705,0.2227038241781288,27.2,0.9570235993959911,0.05031534265670323,10,1421,672,117,9.06828441545754,0.7088528997538541
18,0.6638416462296056,0.027538423426375632,0.22211876965310232,29.2,0.8590760482165449,0.010015601258913822,12,1332,558,84,5.107473025775658,0.7669644012595116
19,0.6635677288340341,0.027502186992163162,0.2220022484498335,27.3,0.6888431241882921,0.014320178727094466,11,1900,573,46,5.187906217433661,0.881207583558071
20,0.6572494606772288,0.02699048933813528,0.223871904252349,25.7,0.7454518409517176,0.1837882061421475,7,1341,709,53,4.972485058923855,0.7203513239267079
21,0.664346318779792,0.027308849889600216,0.22171513296489498,20.2,0.713936197750987,0.011168401671455937,4,51,841,106,0.5147875124998935,0.7114585856946446
22,0.6646239596363847,0.02763251973158524,0.2216647203152374,27.0,0.9633063543866615,0.020496381951116718,5,1126,883,104,9.856504541106007,0.6968221086046001
23,0.6617340636381803,0.028374530689907713,0.2224633599284192,17.2,0.8688542189623514,0.09792418480265735,4,816,493,38,4.703006344460384,0.9933692563579372
24,0.6625364098349816,0.02796361906982689,0.22226011994751937,13.8,0.7595297769778212,0.11539908265229068,4,1274,323,73,1.8651851039985423,0.6163100566219055
25,0.6613641763028982,0.027847391186621988,0.22280706535264572,28.1,0.8363571772752967,0.0761257455068078,6,1419,710,33,3.4866598729172935,0.6384706204365683
26,0.6625152518132975,0.027959342234677245,0.22233651432522977,33.0,0.9762093057958416,0.03290433551392412,10,387,840,25,3.410663510502585,0.6453894084962356
27,0.658276497548161,0.02641090154277512,0.22359188753857678,17.2,0.9698774473114251,0.13849841877516936,6,312,343,104,9.821683433294355,0.8066543565084057
28,0.6596685126000853,0.026694510556710817,0.22347615917915759,17.2,0.7043316699321636,0.19776796588123993,8,1110,359,23,2.7887135259218185,0.8801431319891084
29,0.6577570060533731,0.026388147082573345,0.22385348410053058,38.0,0.9386644568953224,0.13004797369462248,9,1193,872,38,8.509284487675128,0.9742539976883791
30,0.6610566913607553,0.027470994638454465,0.22301600579083547,27.9,0.9141362604455774,0.07419485426720915,6,1185,709,103,6.635017691080558,0.6020246335384875
31,0.6608185355894012,0.02782127806029473,0.22300745704172137,44.2,0.6643232205669994,0.05175104449339831,9,1236,880,114,7.121792213475358,0.69489963499872
32,0.6629466885809007,0.02681825712749243,0.2223771467395216,20.7,0.7301598792637071,0.09358531566329122,11,1208,394,31,3.080607918523892,0.8170160922219597
33,0.6594480881851397,0.025759075661869003,0.22338487594377918,43.6,0.803525630735504,0.06728028515638518,9,799,869,52,9.78892858275009,0.794696861183782
34,0.6610901921861225,0.0274599254315688,0.2227682888969781,2055.9,0.9624395150874216,0.036741772138466126,8,847,808,42,6.689240596630997,0.9456670260287612
35,0.6635803572015425,0.02878558122266871,0.22209365441399012,15.5,0.6920741072966221,0.044613424516335966,7,596,391,63,0.4360377175443375,0.9978202043189364
36,0.6637793721782674,0.027672545411526004,0.22183844640932354,12.0,0.7879778055963772,0.023105554226239357,9,148,236,38,3.307503046705137,0.821105986734196
37,0.649391434576368,0.022787227893903098,0.22576260620377714,17.4,0.8289169876683353,0.1885561908414905,7,240,452,99,1.9091103115034602,0.7073899427560627
38,0.6617987348739444,0.028163806944896144,0.2224871749022855,21.9,0.7941119497105262,0.03054054572068254,9,619,522,118,0.704161308495439,0.6835674870461441
39,0.6643270717050269,0.027700017656036097,0.22177466427607023,11.2,0.8684574067296202,0.029282639460209977,5,834,303,47,1.3662133144202881,0.8835643987640474
