id_municipio,taxa_2023,taxa_2024,meta_2024,meta_2025,meta_2026,meta_2027,meta_2028,meta_2029,meta_2030,n_alunos_avaliados,taxa_presenca_2024,sigla_uf,nome_regiao,n_alunos_2023,taxa_2024_suavizada,projecao_2025,dp_latente_pp,intervalo_2025_inferior,intervalo_2025_superior,p_abaixo_da_meta_2025,gap_de_esforco_2025,meta_dentro_do_intervalo,natureza_resultado,porte_abaixo_referencia_dispersao
4320453,85.4,11.1,80.0,80.0,80.0,80.0,80.0,80.0,80,18,1.0,RS,Sul,16.0,26.82449067442351,29.13756221151941,28.162258007644407,0.0,84.33457362982719,0.9645447120964242,68.9,True,cenario_condicional_sem_validacao_em_ano_futuro,True
4301073,94.6,18.2,80.0,80.0,80.0,80.0,80.0,80.0,80,22,0.8461538461538461,RS,Sul,20.0,29.822863446744023,32.135934983839924,25.81926027113842,0.0,82.74075522273709,0.9681169985422361,61.8,True,cenario_condicional_sem_validacao_em_ano_futuro,True
4319208,57.9,7.1,61.56,65.1,68.48,71.68,74.67,77.45,80,41,0.8913043478260869,RS,Sul,50.0,16.33588525952727,18.648956796623168,20.071873333890046,0.0,57.98910563329756,0.9896725980577152,57.99999999999999,False,cenario_condicional_sem_validacao_em_ano_futuro,True
4319752,100.0,25.0,80.0,80.0,80.0,80.0,80.0,80.0,80,31,1.0,RS,Sul,33.0,32.469939576542394,34.783011113638295,22.391874920581827,0.0,78.67027950430436,0.9782744713385038,55.0,False,cenario_condicional_sem_validacao_em_ano_futuro,True
4310850,85.5,25.0,80.0,80.0,80.0,80.0,80.0,80.0,80,35,1.0,RS,Sul,43.0,31.792663680850133,34.105735217946034,21.336220302238143,0.0,75.9239585765451,0.9842620017270566,55.0,False,cenario_condicional_sem_validacao_em_ano_futuro,True
1704600,50.0,6.25,54.93,59.77,64.43,68.83,72.91,76.64,80,16,0.7619047619047619,TO,Norte,16.0,24.9870899415983,27.300161478694196,29.665919781765044,0.0,85.44429581920802,0.8631357413611698,53.52,True,cenario_condicional_sem_validacao_em_ano_futuro,True
1713601,70.0,19.71,71.56,73.1,74.6,76.03,77.41,78.73,80,64,0.810126582278481,TO,Norte,59.0,24.468195185435146,26.781266722531043,17.120956712095737,0.0,60.337725259107984,0.9965887089656255,53.38999999999999,False,cenario_condicional_sem_validacao_em_ano_futuro,True
4306700,81.3,26.7,80.0,80.0,80.0,80.0,80.0,80.0,80,15,0.9375,RS,Sul,26.0,38.4829461970292,40.7960177341251,30.53259256505269,0.0,100.0,0.9004297867239405,53.3,True,cenario_condicional_sem_validacao_em_ano_futuro,True
4302584,100.0,27.3,80.0,80.0,80.0,80.0,80.0,80.0,80,22,1.0,RS,Sul,13.0,36.25653034593112,38.56960188302702,25.81926027113842,0.0,89.17442212192418,0.945712536599568,52.7,True,cenario_condicional_sem_validacao_em_ano_futuro,True
4320354,73.8,23.5,74.77,75.7,76.61,77.49,78.35,79.19,80,30,0.8571428571428571,RS,Sul,45.0,31.510522302740455,33.823593839836356,22.690524691605813,0.0,78.29620502570057,0.9675209203197587,52.2,True,cenario_condicional_sem_validacao_em_ano_futuro,True
4313334,87.0,28.0,80.0,80.0,80.0,80.0,80.0,80.0,80,25,0.9615384615384616,RS,Sul,22.0,35.98190368123619,38.29497521833209,24.460902893658698,0.0,86.23746391923473,0.9558996820169077,52.0,True,cenario_condicional_sem_validacao_em_ano_futuro,True
4203105,75.5,27.3,76.16,76.83,77.49,78.14,78.77,79.39,80,64,0.8,SC,Sul,67.0,31.111743141212774,33.42481467830867,17.120956712095737,0.0,66.98127321488562,0.9943809701693208,49.53,False,cenario_condicional_sem_validacao_em_ano_futuro,True
